area,programa,nombre,eje,tipo,es_obra,estado_general,fecha_ultima_actualizacion,observaciones
Ambiente,Plan de poda,Poda Caseros   Poligono 2,POA,Servicio,false,vigente,2026-03-06,Poda general || 23-03 al 10-04
Ambiente,Plan de poda,Poda Caseros   Poligono 3,POA,Servicio,false,vigente,2026-03-06,Poda general || 17-04 al 24-04
Capital Humano,Primera infancia y Niñez,"""Plan Estratégico de los Espacios de Primera Infancia (EPIs)""",POA,Programa social,false,vigente,2026-03-16,"Pendiente actualizar informacion · ""Plan Estratégico de los Espacios de Primera Infancia (EPIs)"""
Capital Humano,Apoyos escolares,Apoyos escolares,POA,Programa social,false,vigente,2026-08-17,20/4 arrancaron los apoyos en 5 barrios
Capital Humano,Economia Popular,Capacitaciones CIPPEC,POA,Programa social,false,vigente,2026-06-01,Nueva capacitacion de esmaltado 11/6
Capital Humano,"Empleo, inclusión y economía popular",Capacitaciones cipec,POA,Programa social,false,vigente,2026-03-02,La prueba piloto comenzará el 27/03 y se realizará únicamente con egresados.
Capital Humano,Puesta en valor CEDEMs,Cedems,POA,Programa social,false,vigente,2026-08-17,Techo microestadio | En licitación Intervención cuadrilla municipal | En ejecución Luces deportivas | En planificación - Beto tiene que sacar el suministro de luces
Capital Humano,Cine Ciudadela,Cine Ciudadela,POA,Programa social,false,vigente,2026-03-02,"Se hizo una visita con un potencial comprador, en espera de que avance."
Capital Humano,Convenios,Convenios,POA,Programa social,false,vigente,2026-08-17,Stelantis Becas para escuelas privadas para hacer cursos vinculados al mundo digital en empresas | UDESA | Se hizo el primer pago
Capital Humano,Deportes,Deportes,POA,Programa social,false,vigente,2026-08-17,Juego Bonaerenses: 3.000 inscriptos Instancias Municipales inician en Julio - MDQ: Octubre 19-23
Capital Humano,Descentralización,Descentralización,POA,Programa social,false,vigente,2026-08-17,Libertador - Modulo Wifi ok Luz estamos esperando que de la empresa vayan a terminar el cercado de la sede para que ya edenor pueda instalar el tablero EDLA esta en obra el módulo
Capital Humano,Descentralización,Descentralización Sede Villa Bosch,POA,Programa social,false,vigente,2026-04-13,Comenzó la mudanza el 15/4 al Derqui. Se están llevando a cabo una reunión semanal por cuestiones operativas El COM está bien para el uso de depósito
Capital Humano,EPIs,EPIs,POA,Programa social,false,vigente,2026-04-27,"Pendiente actualizar informacion · ""Plan Estratégico de los Espacios de Primera Infancia (EPIs)"""
Capital Humano,Jardines Municipales,Inicio de la Jornada Completa en el nivel inicial,POA,Programa social,false,vigente,2026-03-16,¿Borrar proyecto?
Capital Humano,Obras de infraestructura Escolar,Obras de infraestructura Escolar,POA,Programa social,false,vigente,2026-03-16,"En ejecuccion armado de proyecto: Tecnica 3, EP 47, EP 41"
Capital Humano,Obras de infraestructura BBPP,Obras de infraestructura en BBPP,POA,Programa social,false,vigente,2026-04-20,Isla bajó suministro el 09/04
Capital Humano,Obras de infraestructura escolar,Obras de infraestructura en escuelas,POA,Programa social,false,vigente,2026-08-17,"Proceso administrativo: EP41, EP47 y Tecnica 3 (inicio junio) - Técnica 3 | El Libertador | Iniciado 6/7 -EP 47 | Iniciado - EP 41 | Pablo Pódesta | inician despues de vacaciones de invierno (se retrasó) -Entornos escolares | Está en licitación. Inicio de obra aprox: 1/8. Pendiente ver con Javi Arca"
Capital Humano,Obras de infraestructura escolar en Barrios Populares,Obras de infraestructura escolar en Barrios Populares,POA,Programa social,false,vigente,2026-03-30,- Técnica 3 | El Libertador | 16/03 pliegos | ejecución 16/06 hasta agosto. - EP 41 | Pablo Pódesta | 23/03 pliegos | ejecución 16/06 hasta octubre. - EP | Evita | 30/03 pliegos | ejecución 30/06 hasta septiembre. - Entornos municipales | 06/04 pliegos | ejecución 06/07 hasta octubre. - EES 09 | 11
Capital Humano,Paramount,Paramount,POA,Programa social,false,vigente,2026-08-17,| Resolver con SSGG la calefacción
Capital Humano,UDIs,Plan Estratégico de las Unidades de Desarrollo Infantil (UDIs) y de la Sede Esperanza,POA,Programa social,false,vigente,2026-08-17,Entrega de tarjetas | finalizaron la nueva etapa de inscripcion con 537 inscriptos. se entregaron todos los posnets pendientes (30 centros adheridos aprox) pocos de ellos usandolo correctamente. pendiente de entrega tarjetas 130 aprox. TOTAL INSCRIPTOS PROGRAMA 1460+
Capital Humano,Protección Social,Protección Social,POA,Programa social,false,vigente,2026-08-17,"Operativo frío | inicio el 18/6, se releva a partir de la base de datos de Mi3F de Protección Social Situación de calle al 23/07 Alertas: 76 Casos activos: 91 Parador: 9"
Capital Humano,Casa de Tierras,Regularización dominial,POA,Programa social,false,vigente,2026-08-17,Favelita| Pedimos 70 chapitas. Fecha de entrega 12/8 Primera semana de agosto firma de escrituras de 53 familias
Capital Humano,Cuaderno Rojo,Sistema de información para los Jardines Municipales,POA,Programa social,false,vigente,2026-08-17,Cronograma: 22 al 26 JUNIO: Comité voluntario para probar la app 26 JUNIO a 15 JULIO: Simulacro app y encuentro con directivos por 2° semestre y anuncio App 03 AGOSTO: lanzamiento oficial Plataforma para uso interno + soporte continuo el 7 de agosto en el Paramount Marzo 2027: lanzamiento Plataforma
Obras,Obras pluviales,14 puntos de Obras pluviales,POA,Obra,true,vigente,2026-08-10,En cotización de sumidero en Merlo e Iribarren
Obras,Carteleria,Carteleria,POA,Obra,true,vigente,2026-08-10,Centros Comerciales: ya planificados y en producción de carteles: - 2 Ciudadela - 2 jose ingenieros - 2 Av. La Plata Finalizados: - Jardín Pinitos - pedido RA
Obras,Cuadrilla Municipal,Cuadrilla Municipal,POA,Obra,true,vigente,2026-08-10,Centro Comercial Ciudad Jardin | Finaliza el 15/08 Pilcomayo | Finaliza el 31/08 Relevamiento en Benito ferro Puan y Hornos | 18-28 de agosto
Obras,Cuenca 2,Cuenca 2,POA,Obra,true,vigente,2026-03-30,Pendiente presentación del plan reducido
Obras,Demarcación de Calles,Demarcación de Calles,POA,Obra,true,vigente,2026-08-10,La demarcación comienza la semana del 27/07 Puntos de del SUM anterior Isabel fernandez y nuestra señora del carmen Lisandro de la torre Benito Ferro
Obras,,Estacion Bosch,Puntual,Obra,true,vigente,,
Obras,Intervenciones Contratadas,Intervenciones Contratadas,POA,Obra,true,vigente,2026-05-04,Obra Plaza El Campito || Desestimado Obra Plaza Villa Parque || Desestimado Sendero Carrefour || La empresa manifestó no poder encarar la obra
Obras,Intervención Miramar,Intervención Miramar,POA,Obra,true,vigente,2026-04-20,Intervenciones previas a la obra desestimadas
Obras,Sin programa,Licencias de conducir,POA,Obra,true,vigente,2026-05-04,Pendiente ver la mejora de la calidad fotográfica en Ciudadela y Caseros. No hay SUM de ploteo
Obras,,Listado de de SSGG y Acupuntura,Puntual,Obra,true,vigente,2026-03-23,
Obras,SUM,OC,POA,Obra,true,vigente,2026-08-10,Hormigon | OC Demarcación | Apertura Pintura vial | Ya esta bajado Asfalto | Bajó nueva licitación Materiales | Pendiente oc
Obras,Obras Particulares,Obras Particulares,POA,Obra,true,vigente,2026-03-30,"✅ Finalizado Obra Plaza Artilleros || Obra lista, aguardando cartelería Obra Plaza Miguel Benitez || Aguardando cartelería - Inauguración 27/03 ──────────────────────────────────── 🟩 En ejecución: Obra Plaza Beltran || Próxima a finalizar - después coordinar con ceremonial la innaguración ──────────"
Obras,Sin programa,Obras de mantenimiento,POA,Obra,true,vigente,2026-05-04,Coordinar una mesa para ordenar prioridades del listado de necesidades de cada secretaría.
Obras,Plan de Bacheo,PLAN DE BACHEO,POA,Obra,true,vigente,2026-08-17,
Obras,,Pedidos,Puntual,Obra,true,vigente,2026-06-15,Hacer carpeta/ vereda en Plaza La Carbonilla. Se mandó a la cuadrilla a verificar. No es prioridad
Obras,Plan de Acupuntura Urbana,Plan de Acupuntura Urbana,POA,Obra,true,vigente,2026-04-13,Presupuesto en revisión
Obras,,Planificacion Pluviales,Puntual,Obra,true,vigente,2026-02-02,
Obras,Plan de Bacheo,Programación Semana Actual,POA,Obra,true,vigente,,Caseros Norte: 2 cuadrantes Caseros Sur: 2 cuadrantes Villa Bosch: 3 cuadrantes Ciudadela: 4 cuadrantes
Obras,Plan de Bacheo,Programación Semana Anterior,POA,Obra,true,vigente,2026-03-17,Caseros Norte: 2 cuadrante y 2 puntos Villa Bosch: 3 cuadrantes Ciudadela: 5 cuadrantes y 1 punto Loma Hermosa: 1 punto Ciudad Jardín: 1 punto Martín Coronado: 1 punto
Obras,Restauración casona Bosch,Restauración casona Bosch,POA,Obra,true,vigente,2026-04-06,"Esperando ver presupuesto, la primera cotización fue muy alta. Beto esta gestionando la nueva cotización. Pendiente definir quien va ocupar el espacio"
Obras,,Reunion Miramar,Puntual,Obra,true,vigente,2026-03-23,
Obras,,Reunion Movilidad,Puntual,Obra,true,vigente,2026-03-23,
Obras,Túnel América,Túnel America,POA,Obra,true,vigente,2026-08-10,"El 2/7 se pagó a las empresas, esta pendiente de la empresa."
Obras,Túnel Hornos,Túnel Hornos,POA,Obra,true,vigente,2026-08-10,INTERFERENCIAS: ver esquema de licitación Plan de trabajo: a entregarse una vez se finalice las cotizaciones de las interferencias
Salud,Telemedicina,Cantidad de Consultas de Telemedicina,POA,Servicio,false,vigente,,Objetivos en base al 1T 2026 (585 mensual): May: 2140 / Sup. Obj. Jun: 1852 / Sup. Obj. Jul: 1397 / Sup. Obj.
Salud,Inclusión de IA en procesos de la municipalidad,Chatbot,POA,Servicio,false,vigente,,"Chatbot iniciado el 26/3, se desarrolla con normalidad"
Salud,Cobertura de vacunación,Cobertura de vacunación,POA,Servicio,false,vigente,,Informe listo con el desglose por vacunas por años
Salud,Inclusión de IA en procesos de la municipalidad,Derivaciones con IA (Knidian),POA,Servicio,false,vigente,,Nuevo circuito de derivaciones de especialidades en CEMAR y OFTALMOLOGÍA || 26 de abril
Salud,Inversión en Salud,Inversión en Salud,POA,Servicio,false,vigente,,Pendinete rearmar esquema de inversión por recorte presupuestario
Salud,"Insumos críticos, stock y depósitos",Nuevo Sistema Stock,POA,Servicio,false,vigente,,"Implementación orientada a optimizar la trazabilidad, el control y la eficiencia en el manejo de insumos médicos de la Secretaría"
Salud,Facturación,Obras Sociales,POA,Servicio,false,vigente,,
Salud,Recupero financiero del sistema de salud,Recupero financiero del sistema de salud,POA,Servicio,false,vigente,,50M OSDEPIM 60M PAMI
Salud,Facturación,SUMAR,POA,Servicio,false,vigente,,
Salud,Telemedicina,Telemedicina,POA,Servicio,false,vigente,,"Casos de telemedicina en aumento después de las campañas, evaluar sostenibilidad de la promoción con una estrategia conjunta: comunicación, modernización, atv y bajadas territoriales"
Salud,Same y emergencias,Vehiculos Same y  emergencias,POA,Servicio,false,vigente,,Operativas: motos (3) y ambulancia (8) Alerta / Soicitudes: moto (1) y ambulancia (1)
Salud,Ver para ser Libres,Ver para ser Libres,POA,Servicio,false,vigente,,Lunes 18/05 - Ruta 8 y 1ro de Mayo | Loma Hermosa Martes 19/05 - CAPS 1 | Ciudadela Miércoles 20/01 - CAPS 4 | Villa Bosch Jueves 21/01 - CAPS 9 | Pablo Podestá
Seguridad,COM + IA,COM + IA,POA,Servicio,false,vigente,2026-04-06,"Pendiente definir cantidad, ejecutar SUM y avanzar."
Seguridad,Comunicación,Comunicación,POA,Servicio,false,vigente,2026-06-22,Se hizo una reunión para coordinar pase de información de Seguridad a Comunicación para avanzar en redes
Seguridad,Ejecución Presupuestaria,Ejecución Presupuestaria,POA,Servicio,false,vigente,2026-06-08,Reunión con Pilar 18/5 para ver monto 2026 proyectados para mantenimiento de flota
Seguridad,Informe,Informe,Mesa EDLA,Servicio,false,vigente,2026-08-17,Armar informe de las frecuencias y cuando y donde aparecen vehículos abandonados.
Trabajo y Produccion,Bolsa de Empleo,Bolsa de Empleo,POA,Gestion interna,false,vigente,2026-08-17,"Desde sistemas no se quiere avanzar con el sistema de la bolsa de empleo, actualmente usan un linktree. Pendiente hablar con Modernización"
Trabajo y Produccion,Fiscalizacion,Bromato,POA,Gestion interna,false,vigente,2026-08-17,"Carnicería Seguras | se visitaron 45 carniceria, 22 no existien más así que se hicieron 23, el 50% cumplian con los requisitos de seguridad e higiene. Mercaderia encuatada | Reglamentación de procedimiento para descartar Ferias EDLA | se les va a dar un permiso para que funsionen mas ordenada. Pendi"
Trabajo y Produccion,Cursos y Capacitaciones,Cursos y Capacitaciones,POA,Gestion interna,false,vigente,2026-08-17,Hallar solucion para que la dirección de empredurismo pueda usar nuevamente sus redes. Desde que comunicación se lo dio de baja bajaron criticamente los inscriptos.
Trabajo y Produccion,Locales abandonados,Locales abandonados,POA,Gestion interna,false,vigente,2026-08-17,Ley de vacancia con gonza bardo
Trabajo y Produccion,Mapa de empresa,Mapa de empresa,POA,Gestion interna,false,vigente,2026-08-17,Reunión con Finanzas y modernización para comenzar a coordinador
Trabajo y Produccion,Ordenanza,Ordenanza,POA,Gestion interna,false,vigente,2026-08-17,Ya la presentaron al bloque. En unas semans hacen la votación
Trabajo y Produccion,RSE,RSE,Compromisos,Gestion interna,false,vigente,2026-08-17,Picomayo | inversión de 20mil dolares ya arrancó la muni pone mano de obra
Trabajo y Produccion,Suministro,Suministro,POA,Gestion interna,false,vigente,2026-08-17,Van a sacar un suministro de 7 millones para 280 personas para la ronda sectorial en 3 septiembre evento 9 am y 14pm Colonial
Trabajo y Produccion,Tecno 3F,Tecno 3F,POA,Gestion interna,false,vigente,2026-08-17,DIGITALIZATE | Los egresados de tecno 3f harán pasantia en los comercios. Alianza con argentech (plataforma) par dejar los cursos grabados. El primer comercio sería Chocorisimo. Inicio estimado mediados agosto
