id_legible,area,programa,nombre,eje,tipo,es_obra,estado_portal,estado_general,estado_en_el_sheet,prioridad,fecha_ultima_carga,fecha_inicio,fecha_fin_proyectada,unidad,objetivo,avance,observaciones,cargas_en_el_cualitativo
AMB-2026-017,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Intendente Ramón Landín,POA,Servicio,false,en ejecución,vigente,En ejecución,,2026-03-06,,,,,,Poda de sendero || 02-03 al 23-03,1
AMB-2026-018,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Miguel Angel,POA,Servicio,false,en ejecución,vigente,En ejecución,,2026-03-06,,,,,,Poda de sendero || 02-03 al 23-03,1
AMB-2026-001,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Plan de Poda,POA,Servicio,false,finalizado,finalizado,Finalizado,,2026-08-17,,,,,,Plaza Sargento Cabral || Comienzo 22/06 y finalizacion 13/07 Plazoletas de Ciudad Jardín || Comienzo 06/07 y finalizacion 13/07 Plaza Mariano Moreno || Comienzo 13/07 finalizacion 20/07 Plaza San Cayetano || Comienzo 13/07 finalizacion 20/07 Traza Fiscehtti || Comienzo 06/07 finalizacion 13/07 Traza Estada || Comienzo 06/07 finalizacion 13/07 Traza Julio Perdiguero || Comienzo 06/07 finalizacion 1,79
AMB-2026-019,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Plaza Alianza,POA,Servicio,false,planificado,vigente,Pendiente,,2026-03-06,,,,,,"Inicia el 24/04 Estado real en el sheet: ""Pendiente"".",1
AMB-2026-024,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Plaza artilleros,POA,Servicio,false,finalizado,finalizado,Finalizado,,2026-03-06,,,,,,Poda general ||,1
AMB-2026-007,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Plaza Esteban Echeverría,POA,Servicio,false,finalizado,finalizado,Finalizado,,2026-03-09,,,,,,Poda general || 02-03 al 09-03,3
AMB-2026-020,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Plaza Las Palmeras,POA,Servicio,false,planificado,vigente,Pendiente,,2026-03-06,,,,,,"Inicia el 17/04 Estado real en el sheet: ""Pendiente"".",1
AMB-2026-021,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Plaza Longo,POA,Servicio,false,planificado,vigente,Pendiente,,2026-03-06,,,,,,"Inicia el 17/04 Estado real en el sheet: ""Pendiente"".",1
AMB-2026-008,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Plaza Padre Elizalde - Poda General,POA,Servicio,false,planificado,vigente,Pendiente,,2026-03-06,,,,,,"Inicia el 10/04 Estado real en el sheet: ""Pendiente"".",2
AMB-2026-022,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Plaza Pineral,POA,Servicio,false,planificado,vigente,Pendiente,,2026-03-06,,,,,,"Poda general || inicia el 23/03 Estado real en el sheet: ""Pendiente"".",1
AMB-2026-023,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Plaza San Leonardo Murialdo,POA,Servicio,false,finalizado,finalizado,Finalizado,,2026-03-06,,,,,,Poda general ||,1
AMB-2026-026,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Plazoleta Lola Mora,POA,Servicio,false,planificado,vigente,Pendiente,,2026-03-06,,,,,,"Inicia el 16/03 Estado real en el sheet: ""Pendiente"".",1
AMB-2026-027,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Poda Caseros   Poligono 1,POA,Servicio,false,en ejecución,vigente,En ejecución,,2026-03-06,,,,,,Poda general || 02-03 al 16-03,1
AMB-2026-028,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Poda Caseros   Poligono 2,POA,Servicio,false,planificado,vigente,Pendiente,,2026-03-06,,,,,,"Poda general || 23-03 al 10-04 Estado real en el sheet: ""Pendiente"".",1
AMB-2026-029,Secretaría de Ambiente y Servicios Públicos,Plan de poda,Poda Caseros   Poligono 3,POA,Servicio,false,planificado,vigente,Pendiente,,2026-03-06,,,,,,"Poda general || 17-04 al 24-04 Estado real en el sheet: ""Pendiente"".",1
AMB-2026-004,Secretaría de Ambiente y Servicios Públicos,Sin programa,Entrega de composteras,POA,Servicio,false,finalizado,finalizado,Finalizado,,2026-04-06,,,,,,Realizado el sabado. Próxima entrega e 18 de abril y con presencia de Roco,3
CAH-2026-001,Secretaría de Capital Humano,Descentralización,Descentralización,POA,Programa social,false,en ejecución,vigente,En ejecución,,2026-08-17,,,,,,Libertador - Modulo Wifi ok Luz estamos esperando que de la empresa vayan a terminar el cercado de la sede para que ya edenor pueda instalar el tablero EDLA esta en obra el módulo,25
CAH-2026-002,Secretaría de Capital Humano,Descentralización,Descentralización Sede Villa Bosch,POA,Programa social,false,en ejecución,vigente,En ejecución,,2026-04-13,,,,,,Comenzó la mudanza el 15/4 al Derqui. Se están llevando a cabo una reunión semanal por cuestiones operativas El COM está bien para el uso de depósito,9
CAH-2026-004,Secretaría de Capital Humano,"Empleo, inclusión y economía popular",Capacitaciones cipec,POA,Programa social,false,en ejecución,vigente,En ejecución,,2026-03-02,,,,,,La prueba piloto comenzará el 27/03 y se realizará únicamente con egresados.,3
CAH-2026-005,Secretaría de Capital Humano,Obras de infraestructura BBPP,Obras de infraestructura en BBPP,POA,Programa social,false,demorado,vigente,Alerta,,2026-04-20,,,,,,"Isla bajó suministro el 09/04 Estado real en el sheet: ""Alerta"".",3
CAH-2026-003,Secretaría de Capital Humano,Obras de infraestructura escolar en Barrios Populares,Obras de infraestructura escolar en Barrios Populares,POA,Programa social,false,en ejecución,vigente,En ejecución,,2026-03-30,,,,,,"- Técnica 3 | El Libertador | 16/03 pliegos | ejecución 16/06 hasta agosto. - EP 41 | Pablo Pódesta | 23/03 pliegos | ejecución 16/06 hasta octubre. - EP | Evita | 30/03 pliegos | ejecución 30/06 hasta septiembre. - Entornos municipales | 06/04 pliegos | ejecución 06/07 hasta octubre. - EES 09 | 11 de septiembre | 13/04 pliegos | ejecución 13/04 hasta enero 2027. Se atrasaron los pliegos, 27 pasar",4
OBR-2026-007,Secretaría de Obras,Cuenca 2,Cuenca 2,POA,Obra,true,planificado,vigente,Pendiente,,2026-03-30,,,,,,"Pendiente presentación del plan reducido Estado real en el sheet: ""Pendiente"".",6
OBR-2026-001,Secretaría de Obras,Demarcación de Calles,Demarcación de Calles,POA,Obra,true,en ejecución,vigente,En ejecución,,2026-08-10,,,,,,La demarcación comienza la semana del 27/07 Puntos de del SUM anterior Isabel fernandez y nuestra señora del carmen Lisandro de la torre Benito Ferro,56
OBR-2026-005,Secretaría de Obras,Intervención Miramar,Intervención Miramar,POA,Obra,true,demorado,vigente,Alerta,,2026-04-20,,,,,,"Intervenciones previas a la obra desestimadas Estado real en el sheet: ""Alerta"".",9
OBR-2026-003,Secretaría de Obras,Obras pluviales,14 puntos de Obras pluviales,POA,Obra,true,en ejecución,vigente,En ejecución,,2026-08-10,,,,,,En cotización de sumidero en Merlo e Iribarren,24
OBR-2026-006,Secretaría de Obras,Plan de Acupuntura Urbana,Plan de Acupuntura Urbana,POA,Obra,true,demorado,vigente,Alerta,,2026-04-13,,,,,,"Presupuesto en revisión Estado real en el sheet: ""Alerta"".",7
OBR-2026-008,Secretaría de Obras,Plan de Bacheo,Plan de Bacheo,POA,Obra,true,planificado,vigente,,,2026-08-17,,,,,,Estado no cargado en el sheet — revisar con el área.,4
OBR-2026-009,Secretaría de Obras,Plan de Bacheo,Programación Semana Actual,POA,Obra,true,en ejecución,vigente,En ejecución,,,,,,,,Caseros Norte: 2 cuadrantes Caseros Sur: 2 cuadrantes Villa Bosch: 3 cuadrantes Ciudadela: 4 cuadrantes,1
OBR-2026-010,Secretaría de Obras,Plan de Bacheo,Programación Semana Anterior,POA,Obra,true,en ejecución,vigente,En ejecución,,2026-03-17,,,,,,Caseros Norte: 2 cuadrante y 2 puntos Villa Bosch: 3 cuadrantes Ciudadela: 5 cuadrantes y 1 punto Loma Hermosa: 1 punto Ciudad Jardín: 1 punto Martín Coronado: 1 punto,1
OBR-2026-002,Secretaría de Obras,Túnel América,Túnel America,POA,Obra,true,en ejecución,vigente,En ejecución,,2026-08-10,,,,,,"El 2/7 se pagó a las empresas, esta pendiente de la empresa.",25
OBR-2026-004,Secretaría de Obras,Túnel Hornos,Túnel Hornos,POA,Obra,true,en ejecución,vigente,En ejecución,,2026-08-10,,,,,,INTERFERENCIAS: ver esquema de licitación Plan de trabajo: a entregarse una vez se finalice las cotizaciones de las interferencias,23
SAL-2026-001,Secretaría de Salud,Cobertura de vacunación,Cobertura de vacunación,POA,Servicio,false,en ejecución,vigente,En ejecución,,,,,,,,Informe listo con el desglose por vacunas por años,26
SAL-2026-003,Secretaría de Salud,Recupero financiero del sistema de salud,Recupero financiero del sistema de salud,POA,Servicio,false,en ejecución,vigente,En ejecución,,,,,,,,50M OSDEPIM 60M PAMI,11
SAL-2026-002,Secretaría de Salud,Telemedicina,Telemedicina,POA,Servicio,false,en ejecución,vigente,En ejecución,,,,,,,,"Casos de telemedicina en aumento después de las campañas, evaluar sostenibilidad de la promoción con una estrategia conjunta: comunicación, modernización, atv y bajadas territoriales",20
SEG-2026-002,Secretaría de Seguridad,COM + IA,COM + IA,POA,Servicio,false,planificado,vigente,Pendiente,,2026-04-06,,,,,,"Pendiente definir cantidad, ejecutar SUM y avanzar. Estado real en el sheet: ""Pendiente"".",5
SEG-2026-001,Secretaría de Seguridad,Informe de Estadísticas Generales,Informe de Estadísticas Generales,POA,Servicio,false,en ejecución,vigente,En ejecución,,2026-04-13,,,,,,"Actualización 6 a 12 de Abril: Incidencia Delictiva: Descenso de 189 a 188 delitos totales (-0,05%). ---------------------------------------------------------------------- Localidades Críticas (Mayor suba porcentual): Pablo Podestá: +150% (de 2 a 5 hechos) Martín Coronado: +55,6% (de 9 a 14 hechos) Ciudadela: +43,3% (de 30 a 43 hechos) Caseros: +23,4% (de 47 a 58 hechos) --------------------------",6
SEG-2026-003,Secretaría de Seguridad,Informe de Estadísticas Generales,Informe de Estadísticas Generales Mensual,POA,Servicio,false,en ejecución,vigente,En ejecución,,2026-05-11,,,,,,"Actualización 30 a 5 de marzo: Incidencia Delictiva: Descenso de 198 a 188 delitos totales (-5,1%). ---------------------------------------------------------------------- Localidades Críticas (Mayor suba porcentual): Villa Raffo: +200% (de 2 a 6 hechos) El Libertador: +55,6% (de 9 a 14 hechos) Ciudad Jardín: +55,6% (de 9 a 14 hechos) Ciudadela: +30,4% (de 23 a 30 hechos) Comisaría 9°: +28,6% (de 1",4
